date (dd-mm-yyyy),webTitle,short_description,webUrl,imageUrl,section
06-10-2020,New Zealand bushfire that demolished village leads to climate crisis debate,Scientists say hotter and longer summers make such an unusually fierce fire more likely,https://www.theguardian.com/world/2020/oct/06/new-zealand-bushfire-that-demolished-village-leads-to-climate-crisis-debate,https://media.guim.co.uk/e2cf67d900eeb4d52d8bbf5b2eae53e4609b608b/56_0_3385_2031/500.jpg,world
07-10-2020,"The New Zealand election, like watching a political fight through the Calm app | James Nokise","It has been a challenge to remember what a normal political scene looks like, but how good is boring right now?",https://www.theguardian.com/world/2020/oct/07/the-new-zealand-election-like-watching-a-political-fight-through-the-calm-app,https://media.guim.co.uk/de68c31e655a876b225f835f121ee927e569c98c/641_0_2883_1730/500.jpg,world
08-10-2020,"New Zealand's Covid-19 response the best in the world, say global business leaders","Survey ranks Jacinda Ardern’s government highest for stability, economic management, virus control and resilience",https://www.theguardian.com/world/2020/oct/08/new-zealands-covid-19-response-the-best-in-the-world-say-global-business-leaders,https://media.guim.co.uk/81ee36dbf08499976d2a3b7b51727a1ace327200/0_365_5472_3283/500.jpg,world
09-10-2020,Provider of Trump Covid drug is president's golf friend,Link to drug company boss raises questions about ‘cure’ claims and exclusive access,https://www.theguardian.com/world/2020/oct/08/provider-of-trump-covid-drug-is-presidents-golf-friend,https://media.guim.co.uk/da8a11c7d6c2867e12b7aedb59ef1fd3057841e3/128_0_2304_1383/500.jpg,world
10-10-2020,Hurricane Delta: Louisiana battered by 100mph winds as storm makes landfall,National Hurricane Center warns of ‘significant’ flash flooding surge in state hit by Hurricane Laura six weeks ago,https://www.theguardian.com/world/2020/oct/09/hurricane-delta-louisiana-storm-surge-warning,https://media.guim.co.uk/a136dc3f45b0fa77ccac0aba9ab9e5d89b02ecd1/0_117_3500_2101/500.jpg,world
11-10-2020,China grants consular access to two Canadians detained for two years,Michael Spavor and Michael Kovrig were arrested for alleged espionage after Canada held Huawei executive Meng Wanzhou for extradition to US,https://www.theguardian.com/world/2020/oct/11/china-grants-consular-access-to-two-canadians-detained-for-two-years,https://media.guim.co.uk/5848dc81192989b0f6783cabdfa45cebde7d9fc5/0_5_3500_2101/500.jpg,world
12-10-2020,Canadian detained in China 'astonished' to learn about scale of Covid pandemic,"On Saturday Michael Kovrig had his first contact with diplomats since January, saying he was determined to come home",https://www.theguardian.com/world/2020/oct/12/canadian-detained-in-china-astonished-to-learn-about-scale-of-covid-pandemic,https://media.guim.co.uk/81d64dd76b49b48a6c8a65a1554ad220ac4d4f36/0_83_2500_1500/500.jpg,world
13-10-2020,Malaysia's Anwar Ibrahim to meet king in decades-long push to become PM,"Opposition leader, who has been on the brink of power several times, claims to have enough support to lead, but doubts persist",https://www.theguardian.com/world/2020/oct/13/malaysias-anwar-ibrahim-to-meet-king-in-decades-long-push-to-become-pm,https://media.guim.co.uk/5394227f5851a15d376c2397fb4026a36f5df4f7/0_232_3500_2099/500.jpg,world
14-10-2020,Judith Collins: New Zealand's 'anti-Ardern' whose hero is Thatcher,The New Zealand opposition leader has pulled no punches after being thrust into the role just a few months before the election,https://www.theguardian.com/world/2020/oct/14/judith-collins-new-zealands-anti-ardern-whose-hero-is-thatcher,https://media.guim.co.uk/33287198b3a36565d4dbbcf8523246bdd30b0ccd/0_318_5314_3189/500.jpg,world
15-10-2020,"Global Covid report: young and healthy may not get vaccine until 2022, WHO says",First vaccines will be in limited quantities and for those at greatest risk; Germany records its worst ever daily case toll ,https://www.theguardian.com/world/2020/oct/15/global-covid-report-young-and-healthy-may-not-get-vaccine-until-2022-who-says,https://media.guim.co.uk/984e9a965170aabed728bf44661b7f66a963e910/0_267_4000_2400/500.jpg,world
16-10-2020,"New Zealand election: the party leaders, in their own words","Revisit our interviews with the party leaders, revealing what turned Crusher Collins into a National and why Winston Peters embraces populism",https://www.theguardian.com/world/2020/oct/16/new-zealand-election-the-party-leaders-in-their-own-words,https://media.guim.co.uk/0162b668b75bf9d2f16746ba085977b9ecc585c2/0_184_4483_2690/500.jpg,world
